iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.00870852673324407
1000,-0.89,2.11,9,0.008724601088033523
1500,-1.0,2.0,10,0.011184429811692098
2000,-1.0,2.0,11,0.01574083556624828
2500,-1.0,2.0,10,0.018143331668397877
3000,-1.0,2.0,9,0.020913594533340074
3500,-1.0,2.0,10,0.0260005154486862
4000,-1.0,2.0,9,0.03144512072321959
4500,-1.0,2.0,8,0.034383402329694945
5000,-1.0,2.0,8,0.03878471392818028
5500,-0.88,2.12,8,0.041085158023633994
6000,-1.0,2.0,8,0.04611899598967284
6500,-1.0,2.0,9,0.043985988944768906
7000,-1.0,2.0,8,0.048324564086215105
7500,-1.0,2.0,11,0.050849763822043315
8000,-1.0,2.0,9,0.05094935379747767
8500,-0.88,2.12,8,0.05485509036225267
9000,-1.0,2.0,8,0.05706683680182323
9500,-1.0,2.0,8,0.05956810239877086
10000,-1.0,2.0,8,0.06045482860645279
10500,-1.0,2.0,12,0.05984127057308797
11000,-1.0,2.0,9,0.05888597476587165
11500,-1.0,2.0,8,0.0460037782904692
12000,-1.0,2.0,10,0.02772448676842032
12500,-1.0,2.0,8,0.009935331963788485
13000,-0.89,2.11,9,0.019033990341995377
13500,-1.0,2.0,9,0.012131469789892435
14000,-1.0,2.0,9,0.007929609893835732
14500,-1.0,2.0,9,0.006310598933850997
15000,-1.0,2.0,8,0.008934228048019577
15500,-0.75,2.25,8,0.008925585629185662
16000,-1.0,2.0,9,0.008315616210893495
16500,-1.0,2.0,9,0.008479293461277848
17000,-1.0,2.0,8,0.008335893500770908
17500,-1.0,2.0,9,0.011151799953950103
18000,-1.0,2.0,8,0.0103341479334631
18500,-1.0,2.0,10,0.00861920200259192
19000,-1.0,2.0,8,0.010754599781648722
19500,-1.0,2.0,8,0.012319889210630208
20000,-1.0,2.0,9,0.010239617538900347
20500,-1.0,2.0,9,0.009792889544769423
21000,-1.0,2.0,8,0.010082519933348522
21500,-0.88,2.12,8,0.010231310578092234
22000,-1.0,2.0,10,0.009594468494469766
22500,-1.0,2.0,10,0.009529665156151168
23000,-1.0,2.0,10,0.011058474763558479
23500,-1.0,2.0,8,0.034355490846792236
24000,-0.88,2.12,8,0.010138243867913843
24500,-1.0,2.0,8,0.007241923984111054
25000,-0.91,2.09,11,0.008045656486501684
25500,-1.0,2.0,8,0.007159444934586645
26000,-1.0,2.0,8,0.008496317754179472
26500,-1.0,2.0,9,0.0075096098335052375
27000,-1.0,2.0,9,0.00817594881846162
27500,-0.88,2.12,8,0.007824750580766704
28000,-1.0,2.0,10,0.006492184906164766
28500,-1.0,2.0,8,0.006701018896819733
29000,-0.92,2.08,12,0.006927106818693574
29500,-1.0,2.0,9,0.008518472965079127
30000,-1.0,2.0,11,0.006103521917793842
30500,-1.0,2.0,8,0.006278737761931552
31000,-1.0,2.0,9,0.004425201924277644
31500,-1.0,2.0,8,0.0074914740998792695
32000,-1.0,2.0,8,0.0058626230820664205
32500,-1.0,2.0,10,0.004727317999822844
33000,-1.0,2.0,8,0.005757102521329216
33500,-1.0,2.0,9,0.005132832544404664
34000,-1.0,2.0,9,0.005616753544927633
34500,-1.0,2.0,8,0.007091870639669651
35000,-1.0,2.0,10,0.004264173456249409
35500,-0.92,2.08,13,0.006129743513156427
36000,-1.0,2.0,8,0.0038886920410732273
36500,-1.0,2.0,12,0.006246433939850249
37000,-1.0,2.0,8,0.0035869283469764923
37500,-1.0,2.0,10,0.00445661079720594
38000,-1.0,2.0,8,0.003924261061001744
38500,-1.0,2.0,10,0.004128018186747795
39000,-1.0,2.0,9,0.004172036310137628
39500,-0.92,2.08,12,0.0027169478444193373
40000,-0.89,2.11,9,0.002806972755024617
40500,-1.0,2.0,9,0.0035107184248772683
41000,-1.0,2.0,8,0.002911634446718381
41500,-1.0,2.0,8,0.002253582930052289
42000,-1.0,2.0,8,0.0028388614246068755
42500,-1.0,2.0,10,0.0032061607814739546
43000,-1.0,2.0,9,0.0028282903238050494
43500,-0.88,2.12,8,0.0024282117560687766
44000,-1.0,2.0,8,0.005950272650807165
44500,-1.0,2.0,10,0.0015949964601986721
45000,-1.0,2.0,9,0.0045749272576358635
45500,-1.0,2.0,10,0.002833052120990942
46000,-1.0,2.0,9,0.0033627502925810404
46500,-1.0,2.0,8,0.002228920493962505
47000,-1.0,2.0,8,0.002415918526708083
47500,-1.0,2.0,8,0.0019415117425296557
48000,-1.0,2.0,8,0.0020237565094021193
48500,-0.88,2.12,8,0.0030315555816287088
49000,-1.0,2.0,9,0.004094482213531592
49500,-1.0,2.0,8,0.005257930731204397
50000,-1.0,2.0,8,0.004110549718461698
50500,-1.0,2.0,8,0.0015347873165865167
51000,-1.0,2.0,9,0.009873220522422343
51500,-1.0,2.0,8,0.004352893736495389
52000,-1.0,2.0,8,0.0022082306253423667
52500,-0.9,2.1,10,0.014730502120073652
53000,-1.0,2.0,10,0.003422156857823211
53500,-1.0,2.0,10,0.005288986760660919
54000,-1.0,2.0,9,0.0028669308238704616
54500,-1.0,2.0,9,0.0021536317264008176
55000,-1.0,2.0,9,0.0014338664211663854
55500,-1.0,2.0,12,0.0010189686144599364
56000,-0.89,2.11,9,0.003027380380899558
56500,-1.0,2.0,8,0.001495308724372535
57000,-1.0,2.0,8,0.0017140854985200349
57500,-1.0,2.0,9,0.0014182546647134586
58000,-1.0,2.0,8,0.0018340813142003753
58500,-1.0,2.0,11,0.0037602346844778367
59000,-1.0,2.0,8,0.006329164486487571
59500,-1.0,2.0,9,0.004999770842459839
60000,-1.0,2.0,9,0.004990226869722392
60500,-1.0,2.0,9,0.002502640943703227
61000,-1.0,2.0,10,0.004715561571174476
61500,-0.85,2.15,13,0.004120731318835169
62000,-1.0,2.0,8,0.001235926731624204
62500,-1.0,2.0,10,0.002148949156890012
63000,-1.0,2.0,8,0.002068428800498623
63500,-0.9,2.1,10,0.0010681583762561786
64000,-1.0,2.0,10,0.000765273767058261
64500,-1.0,2.0,10,0.001604308726768977
65000,-0.91,2.09,11,0.012296878458073479
65500,-0.91,2.09,11,0.024026642058743164
66000,-1.0,2.0,8,0.05950599223433528
66500,-1.0,2.0,12,0.05590431693417486
67000,-0.88,2.12,8,0.023168086550867883
67500,-1.0,2.0,10,0.15815072585246526
68000,-0.89,2.11,9,0.26603793061804026
68500,-1.0,2.0,8,0.16018669144250453
69000,-1.0,2.0,8,0.10890914645278826
69500,-1.0,2.0,9,0.27523949765600264
70000,-1.0,2.0,9,0.17829251795774326
70500,-1.0,2.0,10,0.4209338191431016
71000,-0.92,2.08,12,0.659541312372312
71500,-1.0,2.0,9,0.6677909391000867
72000,-1.0,2.0,8,0.31584267993457615
72500,-1.0,2.0,9,0.3530268772155978
73000,-0.89,2.11,9,0.48733764595817775
73500,-1.0,2.0,9,0.9921334404498339
74000,-1.0,2.0,9,1.009732206352055
74500,-1.0,2.0,12,0.9189580099191517
75000,-1.0,2.0,8,0.2908335579559207
75500,-1.0,2.0,9,0.23265132901724428
76000,-0.89,2.11,9,0.2014380475739017
76500,-1.0,2.0,10,0.23831920797238126
77000,-0.88,2.12,8,0.14903414886794053
77500,-0.89,2.11,9,0.17326681327540427
78000,-1.0,2.0,9,0.1423783416976221
78500,-1.0,2.0,8,0.14017265144502744
79000,-1.0,2.0,10,0.14521993993548676
79500,-1.0,2.0,8,0.1056993697420694
80000,-1.0,2.0,8,0.1268902718438767
80500,-1.0,2.0,10,0.18852199704269879
81000,-1.0,2.0,8,0.26515746116638184
81500,-1.0,2.0,9,0.1013896411168389
82000,-1.0,2.0,9,0.1079835222044494
82500,-1.0,2.0,10,0.03625542049849173
83000,-1.0,2.0,9,0.03068932551650505
83500,-0.91,2.09,11,0.02138321183883818
84000,-1.0,2.0,8,0.039324641329585575
84500,-1.0,2.0,10,0.0283287142883637
85000,-1.0,2.0,8,0.01906888666417217
85500,-0.88,2.12,8,0.07183550827903673
86000,-0.9,2.1,10,0.06887750109308399
86500,-0.89,2.11,9,0.06729879943304695
87000,-1.0,2.0,8,0.09191953396657482
87500,-1.0,2.0,8,0.07941045508778188
88000,-1.0,2.0,8,0.09052899159723893
88500,-1.0,2.0,10,0.08407618047203869
89000,-1.0,2.0,8,0.10175410303054377
89500,-0.75,2.25,8,0.10415072552859783
90000,-1.0,2.0,8,0.055732805718434975
90500,-0.89,2.11,9,0.05880569398141233
91000,-1.0,2.0,8,0.09123717618058436
91500,-1.0,2.0,9,0.09604997647693381
92000,-1.0,2.0,10,0.10697416712355334
92500,-0.88,2.12,8,0.12957179878139868
93000,-1.0,2.0,8,0.12529147177701816
93500,-1.0,2.0,9,0.07436891370161902
94000,-1.0,2.0,8,0.11329468536132481
